ID,reviewer,content,date_time,rate
79,Huyên,Dịch vụ chăm sóc khách hàng cực kì kém ko biết đường nào mà liên lạc. Nhắn thì ko rep làm ăn thế 🙂,19-10-21 17:43,2
80,Lê Mạnh 1412,Lỗi ko chuyển khoản được,16-11-21 21:09,1
81,vinh Le,"Ứng dụng hữu ích,tốt, tiện lợi",07-12-21 8:01,5
82,Miền Tây Vlog,"App mở ko dc, tiền để trong app cần chuyên gấp cho khách hàng mà nỏ cả ngày ko dc, app thật sự quá tệ...",26-07-21 20:13,1
83,Châu Long Phan,Rất tốt,09-06-21 17:57,5
84,Mai Hoàng Huy,Quá tệ,15-08-21 14:20,1
85,Phan Thanh,"Đăng nhập điện thoại mới thì báo lỗi , trong khi điện thoại cũ đã out tài khoản ra ! Quá tệ",13-05-21 4:19,1
86,Đú Pé,Xác nhận dao diện mặt cứ lỗi không xác nhận được mong add khắc phục,16-07-21 8:51,1
87,tuan van,Ứng dụng gây ức chế thật sự  quá tệ,29-05-21 20:13,1
88,Mai Thanh,"Cskh toàn lũ kiến thức thấp, khách hàng nói ra vấn đề thì nghĩ khách hàng ngu k biết gì. Tải app về đã là bản mới nhất rồi, nó còn bắt mình phải vào hình người bên trái góc màn hình ấn vào chữ cập nhật phiên bản, trong khi hệ thống báo bản của mình là bản mới rồi. Mình nói rõ với bạn cskh như vậy, bạn ấy bảo chị cứ ấn như vậy 15p? bao nhiêu việc dùng đến tiền giờ vào app rồi mà tài khoản nguồn không hiện về? K hiện tài khoản nguồn thì ma dùng được app à?",02-05-21 18:15,1
89,phamhoang thitho,Sao cập nhật mở khóa vân tay không được.. Xiaomi 10tpro. Mà không xác nhận được vân tay là sao... Lúc trước bình thường. Giờ cập nhật cái xong phim. Phiên bản yêu cầu thì 6.0... mà cho cập nhật 5.6... chán,05-08-21 17:29,5
90,Trân Huyền,"Vào nhanh, chuyển tiền nhanh. Sử dụng ổn. K vấn đề j cả.",16-08-21 17:14,5
91,Dũng Bùi Tiến,"Áp quá kém, vừa chậm, vừa có lỗi khi quay trở ra, nhấn nút trở ra áp không đóng dc, phải dùng nút bắt buộc đóng thì mới thoát dc, nhấn nút thoát ra vô tác dụng, kiểu này chẳng khác nào cửa nhà chỉ đóng tạm, kẻ trộm có thể đột nhập bất cứ khi nào",20-06-21 16:49,1
92,Đỗ Hiên,"Quá tệ, đã cập nhật lên bản mới nhất vẫn báo vui lòng cập nhật",16-11-21 15:09,1
93,Thuy Le,Rat tot,10-06-21 19:21,5
94,Mỹ Linh Nguyễn,Ok vipro,30-05-21 14:51,5
95,Linh Phạm,Dùng tệ vcl sau 7749 lần lập và gần đc nó cho out cmn ra ngoài :)),15-12-21 19:32,1
96,Truc Bui,Chả hiểu làm ăn kiểu gì . lỗi nguyên ngày . Rất khó chịu . có việc muốn chuyển tiền đi k đc . gây ức chế cho người dùng .,16-11-21 15:10,1
97,Hong Thanh,Dùng rất ok 👍👍 nhưng ko biết kiếm tiền từ đâu bằng app này,16-04-21 21:29,4
98,Thảo Nt,"App thực sự tệ hại, đang đăng nhập bình thường bằng vân tay, tự nhiên bảo ko đc phải cài phiên bản 6.0 trở lên ,mà vào CHplay chỉ có bản 5.4 . Đổi sang ngân hàng khác mới được",05-06-21 20:44,1
99,Thư Anh,App quá tệ. Đợi đăng nhập như cả thế kỷ.,15-08-21 14:37,1
100,dianguc hoangtu,Lỗi lắm,16-11-21 15:16,1
101,hoan ha van,dịch vụ rât tốt và an toàn khi sử dung,08-12-21 23:38,5
102,Dai Hoang,Ngon vl,09-12-21 7:31,5
103,Hoa Đoàn,Vào mãi không đc quay tít suốt hom qua đến nay đang cần dùng chả hiểu app ra sao nữa,21-11-21 23:08,1
104,26_ Huỳnh Hữu Phước,"Chưa đủ điều kiện đăng ký otp , trong khi đăng nhập đầy đủ",30-07-21 17:22,1
105,Văn Tuấn Tống,Chỉ ước công ty đổi ngân hàng trả lương để không phải dùng cái thứ của nợ này,17-07-21 21:26,1
106,Hồng Quang Đinh,"App tệ quá, mất cả ngày vẫn ko thể thực hiện đc 1 giao dịch chuyển tiền.",13-08-21 17:50,1
107,Nguyễn Vũ,Ok,09-06-21 18:01,5
108,Trần Anh Kiệt,Quay mặt cả buổi ko khớp,05-09-21 17:03,1
109,Quyết X.,Tốt,03-09-21 19:08,5
110,chuong giap,Hoi bi chậm,26-04-21 12:38,3
111,Quang Phạm,"App cùi, dk ko dc, làm đủ bước báo ko thành công",22-09-21 0:47,1
112,Hoàng Phan Quý,Tôi Hoàng toàn tin tưởng vào những ứng dụng của bạn,27-07-21 19:55,5
113,Đạt Nguyễn,Thật sự ko hề muốn vote 1 sao nhưng cực kì ức chế cái app này công việc thì bận mà cần sử dụng lại bị rất nhiều lỗi . tôi khuyên mọi người không nên sử dụng MB Bank hay ít nhất là Internet banking của MB,16-11-21 18:40,1
114,Điện Lạnh Lê Vàng,tốt,31-08-21 9:04,5
115,Gem Mơ Chopper,Làm thẻ ngân hàng onl toàn bị lỗi k á,05-07-21 20:53,1
116,Chinh Quachthi,❤️,08-04-21 7:17,5
117,Phương Võ,Tốt,23-07-21 6:59,5
118,Dan Nguyên Duc,Beautifull,01-10-21 12:33,5
119,Hà Sơn3,Oki,10-06-21 8:30,5
120,ngoc thach nguyen,"Thời gian chuyển khoản , người ta cần gấp, mà vô cứ quay. Vào từ đầu mùa tới chuyển khoản thành công hơn 20 phút. Quá tệ",26-07-21 23:02,1
121,Phương Nguyễn Ngọc Minh,Tốt,27-09-21 9:59,5
122,Alexander Bullerhell,App quá tệ,26-03-21 15:46,1
123,Mỹ Hoàng,Tuyệt,24-07-21 3:52,5
124,Mv Đại,"Nọ mình có chơi Vietlot qua cái Ứng Dụng này.. Số đỏ chơi keno 10 mà đc hẳn 20k.. mà h 5 ngày rồi k thấy tiền đâu.. K thấy trả thưởng, cũng chả có thông báo rì.. Lỡ đc 2 tỉ kb phải nói vs ai.. 🤣🤣",01-04-21 21:32,2
125,Mung Ffmung,Đăng nhập thành côg rồi mà hok thấy tiền trong tài khoản Người giới thiệu cũng mất tiu. Luôn. App lừa đảo,29-10-21 13:02,1
126,05.Trần Nhật Dương _12a3,từ lúc cập nhập đến h vào app cứ chạy mãi không vào đc,22-07-21 20:56,1
127,sim le,Như.loz,21-08-21 19:22,1
128,Thanh Bình Nguyễn,So good,28-03-21 19:53,5
129,Nv Hieu,"Cứ mỗi lần reset điện thoại là phải ra quầy giao dịch để đặt lại. Như vậy rất bất tiện cho người dùng, vì không phải ai cũng có thời gian để ra quầy. Thay vì ra quầy mb nên gửi mã kích hoạt qua SMS giống như Vietcombank. Mong mb sớm thấy đổi vấn đề này",02-07-21 6:01,1
130,Dinhduc Dang,Tot,05-07-21 16:50,5
131,Quốc Trung,Không vào đc app xóa đi tải lại thì k đăng nhập đc nữa bắt ra ngân hàng đăng kí lại digital Quá bất tiện,01-06-21 16:34,1
132,Thao Manh,Ok,10-10-21 15:52,5
133,Tuấn Phạm Văn,Tot,12-11-21 8:48,5
134,Duy Pham,lỗi ít thôi lỡ hết bao nhiêu là việc,16-11-21 11:39,1
135,Nhat Nhat,App lỗi từ sáng ngày 16/11 để nghị xem xét lại,16-11-21 14:53,3
136,Thao Kien,Vô nó cứ quay là sao.,28-07-21 15:14,1
137,Chum Legends AG,"Không vào được app nữa, ngân hàng làm ăn tệ quá luôn",30-07-21 19:19,1
138,Mingo Nguyễn,Tôi chẳng may xóa đi tải lại thì không giao dịch được nữa :)) thiết lập lại OTP thì không được liên hệ trực tuyến thì không thấy phản hồi :),13-06-21 19:05,2
139,Duyen Trân,Rất ok,15-04-21 16:09,5
140,Hậu Nguyễn,App gì mà đăng kí cả chục lần dki k dc Quạo dữ lắm đó,27-10-21 19:03,1
141,Văn biên Chu,Kiếm tiền ngon,16-11-21 13:11,5
142,Hiền Nguyễn,Vip,22-06-21 19:26,5
143,manh hoang,Úng dụng rất ok kiếm tiền giới thiệu rất dễ mấy ngừoi ko bt đi giới thiệu cứ kêu ko nhận đc làm sai còn đòi nhận đc ak,04-09-21 0:33,5
144,Tung Le,Đang dùng công việc quan trọng thì lỗi. Hệ thống chậm quá,16-11-21 15:11,1
145,Văn Định Nguyễn,"Không đăng kí được, toàn không hợp lệ dù đã căn góc, không để quá sáng để quay chụp. Đã thoát hoàn toàn khỏi ứng dụng và cấp quyền rồi, thậm chí xoá đi tải lại thì cũng không đăng kí được",04-08-21 15:07,1
146,DALACOPHARM,Ứng dụng j mà vào ko đc. Quá tệ. Vào ios thig còn đc trên android thì chậm như con rùa. Lúc vào đc lúc thì văng,13-05-21 17:31,1
147,Tình Ha,"Làm ăn kiểu j mà bị đánh giá 1* nhiều vậy mang tiếng là bên quân đội, hãy xem lại cách làm việc của từng bộ phận lại đi",25-08-21 2:35,1
148,DAT TV VLOG,Ok,11-12-21 11:49,4
149,Hải Đường Đặng,"Quá tệ. App lỗi, gọi cskh ko ai nghe máy. Quá xem thường khách hàng",16-11-21 14:59,1
150,Hong Vu Nguyen,Dịch vụ tốt,16-02-21 12:49,5
151,Thanh Huyền BamBoo,Ok,10-06-21 7:33,5
152,Phụng Quang,Hệ thống làm ăn chán. Khắc phục đc còn bắt khởi động lại máy. Tìm bản cập nhập thỳ k có. Chịu luôn oy,16-11-21 14:48,1
153,nhan nguyen,"Ck nhanh, tk trừ tiền, bên kia k nhận đc, gọi 247 thì NV thái độ",05-12-21 20:56,1
154,Vinh Lê Quang,App lỗi thế quay khuôn mặt xong bấm tiếp theo cứ quay vòng vòng hoài thế ạ,03-11-21 20:26,3
155,Lam Dinh,Mắc mệt,16-11-21 15:04,1
156,Dai Trong,Nhận diện khuôn mặt của app làm quá tệ,15-08-21 12:16,1
157,Hoang Đào,ok,07-09-21 15:20,5
158,Hiệu Nguyễn,Ok,09-04-21 10:16,4
159,Lân Nguyễn,Sao giới thiệu thành công mà ko nhận đc tiền,19-03-21 22:55,1
160,Nguyễn Đình Thắng,Yêu cầu sửa lại vấn đề otp Khi xóa app tải lại phải ra ngân hàng mới làm được,09-06-21 8:31,1
161,Tâm Nguyễn Lưu,Nice,11-07-21 8:14,5
162,Thong Minh,Tiện lợi,01-10-21 8:03,4
163,Thư Minh,"Lỗi gì mà lỗi hoài , đg gắp cần tiền nữa chứ gì đâu ko chứ",16-11-21 13:19,1
164,Thi Đình,Ok,22-03-21 21:20,5
165,Trịnh Duy Vàng,"Đcm dell hiểu sao tải về xong quảng cáo lan sang cả ứng dụng hệ thống mới ghê, trước đó nghiễm nhiên không có",02-10-21 12:40,2
166,06. Lê Trần Mai Chi 11A2,Không đăng ký được,06-12-21 20:15,1
167,Văn Huy Hoàng,quá tệ,07-07-21 15:23,1
168,Nguyễn Quốc,Kiểu éo j đăng nhập ko hợp lệ chán,28-06-21 3:48,1
169,N LH,Toàn lỗi thiết bị không tương thích. Thế này mà có công việc gi chuyển khoản gấp mà để tiền trong cái ap này thì chỉ có hỏng hết việc. Lỗi lên lỗi xuống đó là lý do tôi k dám để tiền trong tk MB,07-08-21 10:54,1
170,Thanh Đỗ,Mình làm mấy lần rồi làm đúng hướng dẫn rồi sao vẫn ko đk huhu,14-11-21 10:49,1
171,Nguyễn phú,Lỗi hệ thống,07-07-21 20:58,1
172,chicong nguyen,Ok,14-05-21 15:50,5
173,Thị Thanh Nga Vũ,Rất tốt,19-10-21 10:15,5
174,15 Nguyễn Trọng khánh 10D,Tốt,31-10-21 13:22,5
175,Thịnh Trần Văn,Tuyệt vời,03-10-21 6:28,5
176,Thang Nguyen Minh,Nên nâng cấp lên,02-08-21 16:00,5
177,Manh Hoang,Dịch vụ tốt,17-05-21 11:50,5
178,xuân Phan,Ok,29-05-21 19:04,5
179,dole le,Muon thi sao làm thế nào ạ,23-09-21 14:30,5
180,08_ Dương Văn Điền,"T ăn cơm xong ngủ một giấc dậy vẫn chưa thấy app gửi mã OTP về điện thoại,chán cái app này thực sự",14-09-21 8:17,1
181,Sa Ni,tốt,14-08-21 7:06,4
182,Gnod.01,Ok,17-11-21 1:34,5
183,Anhcuongyppm Cuongbn,Qua OK moi người ak,29-05-21 11:39,5
184,Trần Thắng,Chuyển khoản thì nhanh . Dùng đc 2 hôm lỗi ko vào nổi,27-06-21 23:38,2
185,văn hùng lê,Rát Tót,16-08-21 16:28,5
186,Me Help,Rất hữu dụng,26-11-21 11:41,5
187,Văn hồng Đào,Tại sao các máy huawei có face id mà app cho máy lại ko co,17-07-21 8:02,1
188,Le Tung,Tuyệt,18-11-21 8:56,5
189,Khuong Ngo,Ko đăng nhập được,10-08-21 15:49,2
190,Lương Khéo,Load nửa ngày k vào được,05-08-21 11:37,1
191,Huy Lương,như cái kon kặk ấy cả tuần mà chả thấy có tiền vào thân ái tặng 1⭐,04-09-21 10:59,1
192,quy viet dang,"Tk tự khóa xong tự trừ tiền, đ cho đnhap",31-08-21 14:54,1
193,Nhật Năm,Chuẩn ok,07-03-21 21:18,5
194,Ka Fv,Rất hiệu quả 😍😍😍😍,20-09-21 5:14,5
195,Ngọc Bích,Cc,03-11-21 16:44,1
196,Y Kim,Ngân hàng MB là ngân hàng tôi tin tưởng nhất 🥰,20-04-21 13:13,5
197,Thúy Nguyễn hồng,Áp hay lỗi quá,16-11-21 12:43,1
198,ngọc tuân Đào,Ok,04-09-21 7:58,5
199,Louisa Linh,"Ứng dụng này nên kiếm tiền vào thì nên rút tiền ra ngay. để tiền trong ứng dụng này lâu có khi nó tìm được cái khoản phí gì nó trừ hết tiền :) . đã bị trừ hết hơn 100k mấy khoản phí ship thẻ bảo free mà trừ 1 lần 33k, phí tháng 60k ???? rồi lặt vặt hết tiền bỏ thẻ.",29-07-21 19:18,1
200,Tan Nguyen,Ưng dung vai lol.xác thực đang ký otp roi giao dịch thanh công nạp tiên điện thoại gio vào lai ưng dung kêu đang ký xác thực nữa đã đăng ký trên thiết bi khác.vào thiết bi đó cung chưa đăng ký otp luôn.bà me ứng dụng gmail số đt sao tui may k gửi mã otp về lam kho nhau vay.kiêu nay ai dám nạp tiên vào tk MB tụi may.Ưng dung tao lao chết me.gọi tông đai ho trơ thi hoi vong vô đu thứ trừ hêt tiền điện thoại.vãi linh hồn,16-02-21 18:55,1
201,TRÍ HỒ MINH,"Đọc quài vẫn không được liên lạc cũng không , bất nản",18-10-21 15:23,1
202,Mbv Uio,Ok,18-08-21 18:31,5
203,Dũng Bùi,Quên mật khẩu thao tác nhiều lần mà ko được,08-10-21 18:41,1
204,Sky love,Ứng dụng chán v~ l,16-02-21 15:26,1
205,Minh Phúc Nguyễn,Ok,13-09-21 16:17,5
206,Tình Lê,Cài đặt quá lâu.Tôi tải vì làm nhiệm vụ game thôi mà hết 1 giờ,21-04-21 13:27,1
207,bảo an lương,Mb mang lại trải ngiệm tuyệt vời hơn hẳn agribank,19-09-21 5:27,5
208,Thắng Nguyễn Chiến,App gì mà vào Quên mật khẩu mấy chục lần nhưng ko nhập nổi. App ngân hàng mà quá kém.,28-06-21 2:16,1
209,Thuận Ngọc,K hiện thông báo số dư,17-07-21 14:55,4
210,Trung Kiên Nguyễn,"App rất tiện lợi cho người dùng. Phần vân tay hiện tại chưa mượt lắm mong ngân hàng caie thiện thêm chức năng này! Nội dung giao dịch cần để thêm số tài khoản chuyển đến sẽ giúp người dùng có thêm thông tin người chuyển tiền đến hoặc chuyển khoản nhầm có thể bank trả lại. MB nên quy hoạch lại App theo một trong hai cách sau: 1. Vào ứng dụng tự khắc hiện lên giao diện đăng nhập vân tay luôn như của TCB, VTP, VPB... vì đa phần khách hàng muốn đăng nhập nhanh để vào xem số dư, chuyển khoản -> rút ngắn thời gian cho khách hàng khi cần xử lý giao dịch gấp 2. Vẫn để vân tay như cũ nhưng để xuống dưới một xíu tạo cảm giác cho cả người thuận tay trái, tay phải .App MB nên chỉnh lại phần hiển thị số dư, cho khách hàng lựa chọn hiển thị số dư hoặc ẩn tùy theo nhu cầu khách hàng.",07-04-21 14:10,5
211,Trần Thị Ngân Hà,"Gửi mã xác thực, bấm đúng rồi vẫn báo mã xác thực sai",29-09-21 16:28,1
212,GW Sưu tầm,D-OTP mỗi lần cài lại máy lại phải ra PGD cái này phải xem xét lại,14-06-21 20:26,1
213,Bảo Trần,Tốt,10-11-21 19:12,5
214,Chỉ Phạm,Đổi đt khác ko giao dịch chuyển tiền được ...khi đó mình đang sài là sim đk của chủ thẻ ... lúc đang cần gấp thì lại phải bó tay . nếu như cho đánh giá 0 sao thì mình sẽ đánh giá 0 sao,23-02-21 18:54,1
215,Phi Lê,Giới thiệu xong vẫn hk có tiền,26-11-21 16:08,1
216,Dương Quốc,Ok lắm ạ,22-02-21 6:26,5
217,Hiếu Nguyễn,Tốt,29-06-21 0:22,5
218,huulong cap,"Gửi mã quá dài điện thoại kéo xuống k hiện mã. Lúc ra lấy mã nhấn lại app thì vô lại từ đâu.Bực, Chán app :(",05-06-21 10:31,1
219,Sahra,"Nhận tiền và chuyển tiền mà không thấy có thông báo app, kiểm tra biến đoongn số dư thì cũng k hiện nhận đc hay bị trừ. Thế mà tiền tự cộng tự trừ",06-12-21 22:48,2
220,Cường Nguyễn xuân,Kkk,26-03-21 7:54,5
221,Vũ FA ST VLOGS,Sao mình khong vao duoc ứng dụng,22-07-21 9:49,4
222,Hoàng Nguyễn,Gửi hỗ trợ nhưng không ai trả lời,21-09-21 10:21,1
223,Tiến Trương Minh,Đăng kí ko đc lu,25-10-21 17:22,1
224,Tuấn Phương,"Đăng ký online 10 lần không được, 2 lần báo lỗi, 8 lần treo màn hình ở loading.",23-10-21 13:34,1
225,Cuong Nguyen,Tôi thấy rất thuận tiện OK,22-03-21 11:51,5
226,Khang kute Lính nghèo,Load chậm,02-08-21 13:28,3
227,An Trần,Giới thiệu thành công nhưng không cộng tiền với quên mã thì k có cách nào lấy lại đc hiện giờ tỉ lệ quên mã rất nhiều nên app bổ sung phần quên mã otp đi,14-04-21 15:00,1
228,Nga Nguyễn,0 9 2 4 4 9 4 1 7 9,07-07-21 15:02,5
229,Tinh Truong Cong,Quá chuẩn,20-06-21 16:14,5
230,Như quỳnh Nguyễn,"Ủa đuma nhập đúng mk mà cứ bảo sai là thế nào nhỉ, làm ăn cho đàng hoàng tí đi",30-11-21 16:00,1
231,Tuyết Vũ,Đăng ký xong đếch vào đc ạ,20-09-21 19:44,1
232,Long Cao hoàng,Cứ dùng được tầm 5 ngày vào lại thì đề thiết bị không tương ứng toàn phải xoá đi tải lại mới vào được,05-11-21 14:41,2
233,Thị Mỹ Chi Lê,Mạng gì k vô đc chờ mỏ,17-11-21 9:37,2
234,Ly Phạm,"Tự dưng lỗi, thiết bị không tương thích? Root máy? Đang xài bình thường mà.",26-11-21 16:04,1
235,Phương Thái Lê,"Lỗi gần cả ngày nhưng chỉ vỏn vẹn một câu thông báo lúc sáng, gọi tổng đài thì không nghe máy , không tương tác với khách hàng. Một ngân hàng mang danh Quân đội nhưng làm việc kém trách nhiệm, coi thường khách hàng. Sẽ rút hết tiền và chuyển sang ngân hàng khác",16-11-21 15:47,1
236,Sy Vu,"Đăng nhập ba ngày nay mà ứng dụng vẫn quay tít mù, ứng dụng quá tệ",25-05-21 6:44,1
237,Luong Truong,Không ra gì so với ứng dụng ngân hàng khác,04-11-21 15:09,1
238,Vu Nguyen,Rất tốt tối rất thích,16-11-21 14:43,5
239,CẪM TÚ TẠ,App chạy chậm và bị đơ .không sử dụng được các chức năng,03-03-21 0:48,1
240,Phong Cao,Thoải mái nhưng đôi khi không mở được app. Chắc do mạng hiện đang lag,11-09-21 9:52,5
